XCoord;YCoord;COD_REG;COD_PRO;PRO_COM;N_ADDRESSES_EVDSL;N_ADDRESSES_ADSL;N_ADDRESSES_VDSL;N_ADDRESSES_FTTH;SPEED_DOWN_ADSL_AVG;SPEED_DOWN_VDSL_AVG;SPEED_DOWN_EVDSL_AVG;SPEED_DOWN_GREATEST_AVG;P1;E1;E2;E3;COMUNE;PROVINCIA;REGIONE;PF1_SPEED_NULL;PF1_SPEED_2;PF1_SPEED_30;PF1_SPEED_100;PF1_SPEED_500;PF1_SPEED_1000;PF1;N_ADDRESSES_BROADBAND;DESI_WIDE_ADSL_PF1;DESI_WIDE_FTTC_PF1;DESI_WIDE_FTTH_PF1;SHAPE_LENGTH;SHAPE_AREA
865619.03206991;5679311.97145235;1;1;1001;0.000000;1434.000000;0.000000;0.000000;10.300739;NULL;NULL;10.300739;2644.000000;1048.000000;1007.000000;924.000000;Agliè;Torino;Piemonte;142.103582;77.354246;1061.542172;0.000000;0.000000;0.000000;1281.000000;1434.000000;1281.000000;NULL;NULL;22922.123969;26971713.390069
833060.14131962;5609213.53176649;1;1;1002;150.000000;1724.000000;1106.000000;0.000000;10.638415;63.750118;96.567333;46.919352;3815.000000;556.000000;535.000000;502.000000;Airasca;Torino;Piemonte;30.189226;11.786885;366.098672;1041.333552;66.591665;0.000000;1516.000000;1724.000000;1516.000000;1516.000000;NULL;23559.708545;31835468.825986
810633.50827820;5669953.70061681;1;1;1003;0.000000;547.000000;0.000000;0.000000;10.051582;NULL;NULL;10.051582;462.000000;815.000000;753.000000;698.000000;Ala di Stura;Torino;Piemonte;34.400859;1.924528;193.674613;0.000000;0.000000;0.000000;230.000000;547.000000;230.000000;NULL;NULL;42504.780583;92522751.767817
884284.17173981;5689724.76614266;1;1;1004;0.000000;1041.000000;0.000000;0.000000;13.346871;NULL;NULL;13.346871;1791.000000;564.000000;550.000000;530.000000;Albiano d'Ivrea;Torino;Piemonte;23.738318;13.182103;744.079580;0.000000;0.000000;0.000000;781.000000;1041.000000;781.000000;21.000000;NULL;23079.597039;22416675.225496
865762.34734665;5695010.18083611;1;1;1005;0.000000;480.000000;0.000000;0.000000;12.279959;NULL;NULL;12.279959;701.000000;482.000000;450.000000;435.000000;Alice Superiore;Torino;Piemonte;32.458300;0.989474;331.552227;0.000000;0.000000;0.000000;365.000000;480.000000;365.000000;NULL;NULL;25785.761228;15271950.688560
826008.81912239;5640118.64073866;1;1;1006;628.000000;3050.000000;2802.000000;1.000000;9.145945;44.492592;63.702295;45.657073;6303.000000;2196.000000;2149.000000;2019.000000;Almese;Torino;Piemonte;4.578358;22.452029;1126.601747;1435.113498;189.896344;1.358025;2780.000000;3304.000000;2780.000000;2780.000000;2030.000000;22783.561072;35595366.666094
843399.19632231;5685768.37874852;1;1;1007;0.000000;1491.000000;0.000000;0.000000;13.104822;NULL;NULL;13.104822;277.000000;616.000000;506.000000;434.000000;Alpette;Torino;Piemonte;0.000000;0.000000;166.000000;0.000000;0.000000;0.000000;166.000000;1491.000000;166.000000;NULL;NULL;12691.120868;10799670.434775
836780.70424771;5637414.48691041;1;1;1008;126.000000;4914.000000;4604.000000;101.000000;7.350245;56.740059;113.405952;72.340039;16892.000000;2325.000000;2275.000000;1975.000000;Alpignano;Torino;Piemonte;19.860595;38.543624;1067.803712;5924.001778;75.077193;202.713099;7328.000000;4922.000000;7328.000000;7328.000000;7311.000000;21974.634396;24060812.142706
875676.20042727;5627165.53265630;1;1;1009;4.000000;844.000000;4.000000;0.000000;10.771399;16.422500;16.422500;10.840601;1966.000000;635.000000;613.000000;512.000000;Andezeno;Torino;Piemonte;20.400853;4.207418;771.391730;0.000000;0.000000;0.000000;796.000000;844.000000;796.000000;796.000000;69.000000;16360.866538;15018016.981432
877878.67871782;5708053.25576643;1;1;1010;0.000000;741.000000;0.000000;0.000000;12.274696;NULL;NULL;12.274696;512.000000;514.000000;497.000000;465.000000;Andrate;Torino;Piemonte;21.000000;0.000000;248.000000;0.000000;0.000000;0.000000;269.000000;741.000000;269.000000;NULL;69.000000;26216.740719;18584830.853334
