XCoord;YCoord;COD_REG;N_ADDRESSES_EVDSL;N_ADDRESSES_ADSL;N_ADDRESSES_VDSL;N_ADDRESSES_FTTH;SPEED_DOWN_ADSL_AVG;SPEED_DOWN_VDSL_AVG;SPEED_DOWN_EVDSL_AVG;SPEED_DOWN_GREATEST_AVG;P1;E1;E2;E3;REGIONE;PF1_SPEED_NULL;PF1_SPEED_2;PF1_SPEED_30;PF1_SPEED_100;PF1_SPEED_500;PF1_SPEED_1000;PF1;N_ADDRESSES_BROADBAND;DESI_WIDE_ADSL_PF1;DESI_WIDE_FTTC_PF1;DESI_WIDE_FTTH_PF1;SHAPE_LENGTH;SHAPE_AREA
1624769.46137850;5113872.78638933;14;24411.000000;226005.000000;67706.000000;992.000000;10.102974;68.515916;115.302393;36.502111;313660.000000;130618.000000;119006.000000;107314.000000;Molise;23386.590536;4146.935031;52484.825403;33921.119001;13116.319119;1081.210911;128137.000000;228172.000000;119827.000000;64428.000000;49158.000000;580131.303296;7968818585.240241
1228485.68433713;5547530.42029182;8;804412.000000;1791259.000000;1239826.000000;105914.000000;9.063827;64.027628;102.762576;124.375183;4342019.000000;980276.000000;947787.000000;817796.000000;Emilia-Romagna;115203.995596;43510.425810;452928.177989;604125.197573;475633.064431;225287.138601;1916688.000000;1815510.000000;1906274.000000;1717995.000000;1202497.000000;1631181.337564;44178026223.631874
1420944.88850170;5158550.01044616;12;925635.000000;1979654.000000;1448294.000000;151877.000000;9.056211;65.509826;112.863492;144.004528;5502745.000000;954679.000000;911677.000000;801210.000000;Lazio;100529.367325;43431.643995;471242.097795;665447.960162;758968.421149;314553.509573;2354173.000000;1999555.000000;2352374.000000;2176976.000000;1811579.000000;1419251.014768;31146769417.789936
1790143.24519152;4939122.45137456;17;129192.000000;384867.000000;278828.000000;6605.000000;11.941171;73.619685;123.175118;86.887695;578028.000000;187251.000000;175939.000000;160033.000000;Basilicata;28748.634704;2566.139367;48383.850273;96398.818302;46331.356396;7748.200958;230177.000000;391303.000000;223744.000000;192910.000000;117392.000000;805039.426465;17299106832.280518
882174.51899401;5632208.23190534;1;434190.000000;1679867.000000;697662.000000;91850.000000;9.322605;60.037190;98.696130;108.944380;4363829.000000;1135209.000000;1083090.000000;944690.000000;Piemonte;101889.540160;51129.954479;675775.890962;480594.828855;308494.465723;335402.319820;1953287.000000;1684222.000000;1945174.000000;1518597.000000;1194727.000000;1751565.419651;50933196032.949715
1651833.79875527;4992156.74493726;15;694213.000000;2058585.000000;1393840.000000;202952.000000;9.560288;70.308221;120.682773;161.151233;5766773.000000;1053196.000000;990338.000000;892310.000000;Campania;110877.910501;26383.762583;434016.235610;738167.362250;453666.217884;297295.511172;2060407.000000;2073210.000000;2058402.000000;1906760.000000;1576829.000000;1171214.933231;23787162145.372677
1390345.18939661;5307093.02374906;10;143753.000000;359203.000000;219463.000000;31395.000000;8.375163;58.326324;93.510690;142.969684;884257.000000;238983.000000;227931.000000;199939.000000;Umbria;44007.994003;14732.933789;108398.973193;106815.652583;60682.286590;32694.159842;367332.000000;372308.000000;361188.000000;299799.000000;190342.000000;847046.165493;15796635860.187422
1462352.99011236;5365454.34201553;11;219946.000000;742223.000000;382920.000000;8881.000000;8.438323;64.004738;99.952326;58.222672;1541275.000000;368803.000000;351171.000000;311624.000000;Marche;47796.179389;25743.767962;228600.486568;199574.995037;112863.295553;10130.275490;624709.000000;752066.000000;622360.000000;467037.000000;331580.000000;861003.608248;17749498430.547501
1819874.12182845;4732327.75756451;18;355726.000000;1796508.000000;1395180.000000;31413.000000;10.119339;65.580122;103.029142;75.576843;1959043.000000;750522.000000;680724.000000;609847.000000;Calabria;76057.042269;15696.716481;157733.834539;400684.853436;99532.019317;23268.533957;772973.000000;1828526.000000;768576.000000;736262.000000;323685.000000;1076019.004651;25050803983.183708
1256038.03780921;5851869.35485037;4;58725.000000;321805.000000;95193.000000;10104.000000;9.310039;65.340034;110.691480;61.671071;1029475.000000;237230.000000;231009.000000;210936.000000;Trentino-Alto Adige;29073.723271;12322.041896;218069.985314;81123.125700;73698.078748;12701.045071;426988.000000;324759.000000;425712.000000;224290.000000;170389.000000;1161794.037068;28649499944.101871
