id_percorso;nome_percorso
100002;BISCEGLIE - SESTO 1 MAGGIO FS
100013;MOLINO DORINO - SESTO 1 MAGGIO FS
100023;QT8 - SESTO 1 MAGGIO FS
100030;RHO FIERAMILANO - SESTO 1 MAGGIO FS
100033;SESTO 1 MAGGIO FS - BISCEGLIE
100034;SESTO 1 MAGGIO FS - MOLINO DORINO
100035;SESTO 1 MAGGIO FS - RHO FIERAMILANO
100038;SESTO MARELLI - SESTO 1 MAGGIO FS
100042;VILLA S.G. - BISCEGLIE
100043;VILLA S.G. - RHO FIERAMILANO
100045;ABBIATEGRASSO - CASCINA GOBBA
100047;ABBIATEGRASSO - COLOGNO NORD
100048;ABBIATEGRASSO - GESSATE
100050;ASSAGO MILANOFIORI FORUM - CASCINA GOBBA
100052;ASSAGO MILANOFIORI FORUM - COLOGNO NORD
100053;ASSAGO MILANOFIORI FORUM - GESSATE
100058;CASCINA ANTONIETTA - GESSATE
100059;CASCINA GOBBA - ABBIATEGRASSO
100060;CASCINA GOBBA - ASSAGO MILANOFIORI FORUM
100066;COLOGNO NORD - ABBIATEGRASSO
100067;COLOGNO NORD - ASSAGO MILANOFIORI FORUM
100070;FAMAGOSTA - ASSAGO MILANOFIORI FORUM
100073;GESSATE - ABBIATEGRASSO
100074;GESSATE - ASSAGO MILANOFIORI FORUM
100077;GORGONZOLA - ABBIATEGRASSO
100080;GORGONZOLA - GESSATE
100095;GORGONZOLA - ASSAGO MILANOFIORI FORUM
100081;COMASINA - SAN DONATO
100082;SAN DONATO - COMASINA
100084;BIGNAMI - SAN SIRO STADIO
100089;SAN SIRO STADIO - BIGNAMI
