id_percorso;num;id_fermata
100067;19;911
100089;7;961
100050;16;926
100002;26;902
100013;7;939
100033;16;967
100073;30;999
100074;21;956
100052;9;944
100066;15;931
100043;16;968
100052;15;940
100067;8;946
100052;13;975
100082;4;966
100095;10;965
100048;13;982
100013;2;901
100053;30;980
100033;24;993
100034;5;921
100043;10;929
100080;3;954
100052;6;911
100095;23;910
100023;14;943
100082;13;916
100048;20;978
100043;8;943
100081;7;900
100013;8;996
100023;13;918
100030;18;909
100082;5;988
100013;26;893
100045;4;919
100089;17;992
100035;26;896
100073;8;974
100059;11;956
100047;2;958
100002;10;985
100033;15;960
100050;3;958
100082;3;922
100067;9;926
100035;24;917
100023;18;898
100030;16;967
100095;17;975
100013;15;960
100047;3;913
100060;5;946
100081;14;964
100047;17;897
100043;2;921
100023;6;968
100052;14;982
100047;11;953
100030;1;915
100082;17;937
100066;12;975
100084;4;983
100013;12;985
100035;3;903
100053;10;931
100053;27;986
100033;20;930
100033;19;968
100030;8;917
100060;14;984
100095;7;979
100073;2;980
100002;21;898
100073;17;940
100047;18;973
100066;5;965
100074;19;975
100060;6;926
100023;5;930
100043;19;996
100050;8;984
100073;22;931
100066;4;978
100013;19;943
100060;7;940
100052;21;978
100045;7;984
100060;10;953
100077;1;952
100067;18;910
100053;28;894
100043;25;901
100074;1;954
100095;18;953
100035;9;928
100050;19;973
100095;25;919
100033;23;957
100034;16;967
100048;16;946
100067;7;897
100067;21;913
100033;5;921
100045;8;944
100059;2;965
100023;17;912
100060;13;944
100030;13;968
100073;25;910
100081;2;997
100023;21;893
100045;14;940
100060;9;975
100053;11;956
100073;24;984
100077;26;913
100023;4;987
100073;9;979
100084;11;976
100030;26;951
100035;14;909
100034;15;960
100095;11;973
100045;15;926
100060;20;994
100074;15;946
100081;17;988
100084;9;956
100030;12;930
100089;19;991
100013;20;941
100023;15;941
100023;20;921
100066;6;973
100081;16;942
100073;27;919
100002;23;921
100043;11;909
100047;5;911
100066;14;956
100035;2;902
100074;11;978
100081;11;933
100002;6;963
100033;26;949
100048;29;980
100042;15;985
100053;6;911
100053;5;919
100002;20;912
100077;11;973
100074;3;952
100084;16;938
100013;25;921
100035;19;968
100081;5;937
100081;3;998
100047;12;975
100045;10;956
100042;12;960
100043;13;967
100034;20;930
100070;3;995
100095;6;974
100089;14;936
100095;26;913
100053;13;975
100035;22;996
100048;23;974
100053;15;940
100066;11;982
100077;15;940
100084;3;992
100002;5;957
100035;29;934
100053;9;944
100084;18;907
100067;13;953
100095;12;897
100034;22;996
100052;1;995
100047;10;956
100043;1;893
100034;29;934
100082;7;924
100045;12;975
100073;7;895
100073;12;965
100030;31;904
100042;4;898
100047;22;972
100048;25;977
100067;2;972
100048;19;965
100033;3;903
100034;19;968
100035;20;930
100002;16;918
100013;24;951
100052;24;971
100023;23;902
100081;4;962
100023;7;985
100077;18;953
100023;24;904
100074;23;944
100077;25;919
100077;14;926
100043;5;912
100050;18;897
100002;13;960
100042;9;918
100074;10;892
100045;5;911
100073;26;911
100089;13;890
100073;4;894
100074;18;982
100033;22;963
100034;2;902
100084;10;932
100095;3;986
100095;1;952
100050;7;910
100089;1;906
100030;20;918
100082;15;900
100034;7;898
100048;24;895
100059;3;973
100077;22;984
100023;11;909
100013;1;934
100034;17;981
100081;21;908
100030;30;902
100033;11;943
100053;20;965
100002;12;967
100030;14;985
100043;9;918
100042;5;912
100060;3;973
100067;6;973
100002;11;981
100047;21;970
100089;18;925
100013;11;968
100034;6;951
100052;19;973
100043;4;898
100002;3;920
100002;15;929
100035;10;941
100053;4;913
100060;15;910
100082;12;899
100048;10;956
100050;10;931
100074;5;986
100035;23;939
100042;20;957
100013;13;981
100050;21;978
100077;21;944
100042;1;893
100047;19;965
100042;19;963
100030;11;987
100059;15;910
100074;17;940
100034;23;939
100074;2;980
100089;9;976
100030;19;929
100013;28;902
100048;12;975
100023;10;960
100060;18;913
100074;6;977
100033;27;990
100045;19;965
100060;21;995
100073;19;975
100034;10;941
100035;6;951
100033;8;912
100042;13;967
100043;12;960
100059;18;913
100053;2;994
100081;20;914
100074;22;931
100089;11;956
100035;17;981
100043;15;985
100023;2;939
100048;5;911
100060;12;931
100066;18;910
100081;8;975
100077;20;931
100082;2;914
100067;10;940
100052;12;953
100053;8;984
100058;2;954
100084;7;890
100042;11;909
100066;7;897
100066;21;913
100059;12;931
100033;18;985
100035;7;898
100077;16;982
100013;17;929
100095;20;931
100013;4;896
100048;30;954
100043;24;989
100082;10;959
100048;7;984
100053;17;946
100059;1;978
100074;16;926
100013;10;930
100045;1;999
100095;16;982
100035;25;945
100074;20;953
100042;22;920
100060;1;978
100089;15;947
100053;16;926
100082;21;969
100035;4;893
100067;23;994
100045;9;931
100073;21;956
100030;10;996
100034;21;987
100045;16;946
100089;4;938
100095;29;995
100034;13;929
100048;28;952
100077;28;999
100035;12;918
100048;8;944
100023;22;903
100042;18;891
100082;18;962
100035;1;904
100066;2;972
100084;2;925
100048;14;940
100034;1;904
100073;29;958
100089;5;923
100052;7;910
100095;21;944
100084;14;889
100035;13;929
100067;11;982
100013;22;912
100033;25;920
100081;6;890
