id_amat;id_via;num_civico;municipio;stato;categorieveicoli;numero_manufatti;stalli_per_manufatto;stalli_totali;tipomanufatto;ubicazione;LONG_X_4326;LAT_Y_4326;Location
2;5339;0;5;Esistente;Velocipedi;3;5;15;Verona;Marciapiede;9.17820648027966;45.4299105472126;"(45.4299105472126, 9.17820648027966)"
4;1545;21;9;Esistente;Velocipedi;2;5;10;0_Non precisato;Alla quota della carreggiata;9.16829273293793;45.5169685144655;"(45.5169685144655, 9.16829273293793)"
8;6330;42;7;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.08480114510265;45.4762825397617;"(45.4762825397617, 9.08480114510265)"
9;7165;4;8;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.1567254420346;45.4822802973057;"(45.4822802973057, 9.1567254420346)"
10;6660;5;6;Esistente;Velocipedi;1;4;4;0_Non precisato;Marciapiede;9.12053839058196;45.4550596306546;"(45.4550596306546, 9.12053839058196)"
13;6660;5;6;Esistente;"Condivisa (Velocipedi, Motocicli e Ciclomotori)";2;2;4;Archetto Milano _ Acciaio inox _ Passo cm 80;Marciapiede;9.12049123516488;45.4550538744259;"(45.4550538744259, 9.12049123516488)"
14;7340;0;9;Esistente;Velocipedi;4;5;20;Verona;Marciapiede;9.14559663217184;45.5193700556835;"(45.5193700556835, 9.14559663217184)"
15;7368;0;8;Esistente;Velocipedi;2;5;10;Verona;Marciapiede;9.14519699605659;45.5189864352799;"(45.5189864352799, 9.14519699605659)"
16;7496;4;8;Esistente;Velocipedi;3;5;15;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.12488120313487;45.4942245310531;"(45.4942245310531, 9.12488120313487)"
17;6718;10;6;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.12963242362055;45.4546312764903;"(45.4546312764903, 9.12963242362055)"
18;6782;55;7;Esistente;Velocipedi;2;5;10;Verona;Cortile o altro spazio collegato al civico;9.08851524664992;45.4637188328314;"(45.4637188328314, 9.08851524664992)"
19;6718;8;6;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.13064390130096;45.4558269694753;"(45.4558269694753, 9.13064390130096)"
20;6718;8;6;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.13004275013524;45.4561211003984;"(45.4561211003984, 9.13004275013524)"
22;3252;81;4;Esistente;Velocipedi;1;6;6;Verona;Cortile o altro spazio collegato al civico;9.24886110584461;45.4639423495293;"(45.4639423495293, 9.24886110584461)"
23;5152;25;6;Esistente;Velocipedi;1;6;6;Verona;Cortile o altro spazio collegato al civico;9.17055045930334;45.4488298502027;"(45.4488298502027, 9.17055045930334)"
24;6835;9;7;Esistente;Velocipedi;1;5;5;Verona;Cortile o altro spazio collegato al civico;9.1112439801275;45.4681128854576;"(45.4681128854576, 9.1112439801275)"
25;1619;1;9;Esistente;Velocipedi;1;5;5;Redondo Inox;0_Non precisata;9.20503195408534;45.5162758718963;"(45.5162758718963, 9.20503195408534)"
26;7517;0;8;Esistente;Velocipedi;2;5;10;Verona;Marciapiede;9.11044439216669;45.4966729233285;"(45.4966729233285, 9.11044439216669)"
27;7517;0;8;Esistente;Velocipedi;3;5;15;Verona;Marciapiede;9.11042588537559;45.4967945842553;"(45.4967945842553, 9.11042588537559)"
28;221;2;1;Esistente;Velocipedi;1;5;5;Verona;Alla quota della carreggiata;9.19727005961009;45.467156378285;"(45.467156378285, 9.19727005961009)"
29;1267;76;9;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.16856017398887;45.5035339634969;"(45.5035339634969, 9.16856017398887)"
30;5447;3;6;Esistente;Velocipedi;3;5;15;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.13813858283873;45.4383703352741;"(45.4383703352741, 9.13813858283873)"
31;5356;70;6;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.14794619935886;45.4322600244713;"(45.4322600244713, 9.14794619935886)"
32;5001;0;6;Esistente;Velocipedi;1;5;5;Verona;Area pedonale (regolamentata o di fatto);9.15105452122561;45.4498551349395;"(45.4498551349395, 9.15105452122561)"
33;5001;0;6;Esistente;Velocipedi;2;5;10;Verona;Area pedonale (regolamentata o di fatto);9.1512556535544;45.4496271935146;"(45.4496271935146, 9.1512556535544)"
34;5001;0;6;Esistente;Velocipedi;2;5;10;Verona;Area pedonale (regolamentata o di fatto);9.15152526855753;45.4497156355736;"(45.4497156355736, 9.15152526855753)"
35;6828;10;7;Esistente;Velocipedi;2;5;10;Verona;Marciapiede;9.08339120354375;45.4531768747004;"(45.4531768747004, 9.08339120354375)"
36;6828;15;7;Esistente;Velocipedi;1;5;5;Verona;Area pedonale (regolamentata o di fatto);9.08145918542259;45.452521870774;"(45.452521870774, 9.08145918542259)"
37;6828;17;7;Esistente;Velocipedi;2;5;10;Verona;Marciapiede;9.08120898677354;45.4528704649722;"(45.4528704649722, 9.08120898677354)"
38;6706;0;6;Esistente;Velocipedi;3;5;15;Verona;Parcheggio in struttura;9.11385284680449;45.454638528173;"(45.454638528173, 9.11385284680449)"
39;4050;17;5;Esistente;Velocipedi;2;5;10;Redondo Inox;Cortile o altro spazio collegato al civico;9.19092607483022;45.4490610427273;"(45.4490610427273, 9.19092607483022)"
40;7523;0;8;Esistente;Velocipedi;1;6;6;Verona;Area verde – Giardino – Parco;9.10305501613069;45.5002096122211;"(45.5002096122211, 9.10305501613069)"
41;2521;4;2;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.24371689569023;45.503363009475;"(45.503363009475, 9.24371689569023)"
42;4222;18;5;Esistente;Velocipedi;4;5;20;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.18743870833669;45.4435311489469;"(45.4435311489469, 9.18743870833669)"
43;5463;0;6;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.16755970791086;45.4436009484803;"(45.4436009484803, 9.16755970791086)"
44;709;;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Area pedonale (regolamentata o di fatto);9.18140008311938;45.4685371419674;"(45.4685371419674, 9.18140008311938)"
45;709;;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Area pedonale (regolamentata o di fatto);9.18150269866239;45.4684585061882;"(45.4684585061882, 9.18150269866239)"
47;709;;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Area pedonale (regolamentata o di fatto);9.18187793247145;45.4688406394932;"(45.4688406394932, 9.18187793247145)"
48;709;;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Area pedonale (regolamentata o di fatto);9.18176804719968;45.4689340028486;"(45.4689340028486, 9.18176804719968)"
49;709;;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Area pedonale (regolamentata o di fatto);9.18213318553414;45.4686247591675;"(45.4686247591675, 9.18213318553414)"
