_id;anno_rilevamento_reato;Reati_denunciati_tipologia;reati_denunciati
1;2020;Strage ;1
2;2020;Omicidi volontari totale;7
3;2020;Omicidi a scopo di furto o rapina;1
4;2020;Omicidi di tipo mafioso;0
5;2020;Omicidi a scopo terroristico;0
6;2020;Tentati omicidi ;22
7;2020;Infanticidi;0
8;2020;Omicidi preterintenzionali ;1
9;2020;Omicidi colposi totale;50
10;2020;Omicidi colposi  da incidente stradale;18
11;2020;Percosse ;529
12;2020;Lesioni dolose ;1676
13;2020;Minacce ;1622
14;2020;Sequestri di persona ;26
15;2020;Ingiurie ;
16;2020;Violenze sessuali ;276
17;2020;Atti sessuali con minorenne ;9
18;2020;Corruzione di minorenne ;6
19;2020;Sfruttamento e favoreggiamento della prostituzione;9
20;2020;Pornografia minorile e detenzione di materiale pedopornografico;65
21;2020;Furti;45642
22;2020;furti con strappo;959
23;2020;Furti  con destrezza;11426
24;2020;Furti  in abitazioni;2740
25;2020;Furti  in esercizi commerciali;3393
26;2020;Furti  in auto in sosta;5704
27;2020;Furti  di opere d'arte e materiale archeologico;7
28;2020;Furti di automezzi pesanti trasportanti merci;10
29;2020;Furti di ciclomotori;350
30;2020;Furti di motocicli;1585
31;2020;Furti di autovetture;2844
32;2020;Rapine totale;1920
33;2020;Rapine in abitazione;49
34;2020;Rapine in banca;10
35;2020;Rapine in uffici postali;1
36;2020;Rapine in esercizi commerciali;216
37;2020;Rapine in pubblica via;1279
38;2020;Estorsioni ;297
39;2020;Truffe e frodi informatiche ;10487
40;2020;Delitti informatici;646
41;2020;Contraffazione di marchi e prodotti industriali;84
42;2020;Violazione della proprieta' intellettuale;13
43;2020;Ricettazione ;661
44;2020;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;30
45;2020;Usura ;2
46;2020;Danneggiamenti ;12438
47;2020;Incendi totale;75
48;2020;Incendi boschivi;0
49;2020;Danneggiamento seguito da incendio ;114
50;2020;Normativa sugli stupefacenti ;1874
51;2020;Attentati ;2
52;2020;Associazione per delinquere ;9
53;2020;Associazione di tipo mafioso ;5
54;2020;Contrabbando;0
55;2020;Altri delitti;16198
56;2020;Reati totale;94796
57;2019;Strage ;0
58;2009;Omicidi volontari totale;8
59;2019;Omicidi a scopo di furto o rapina;1
60;2019;Omicidi di tipo mafioso;0
61;2019;Omicidi a scopo terroristico;0
62;2019;Tentati omicidi ;32
63;2019;Infanticidi;0
64;2019;Omicidi preterintenzionali ;1
65;2019;Omicidi colposi totale;31
66;2019;Omicidi colposi  da incidente stradale;16
67;2019;Percosse ;573
68;2019;Lesioni dolose ;2156
69;2019;Minacce ;1804
70;2019;Sequestri di persona ;33
71;2019;Ingiurie ;
72;2019;Violenze sessuali ;267
73;2019;Atti sessuali con minorenne ;20
74;2019;Corruzione di minorenne ;9
75;2019;Sfruttamento e favoreggiamento della prostituzione;13
76;2019;Pornografia minorile e detenzione di materiale pedopornografico;26
77;2019;Furti;81076
78;2019;furti con strappo;1232
79;2019;Furti  con destrezza;22685
80;2019;Furti  in abitazioni;4947
81;2019;Furti  in esercizi commerciali;5324
82;2019;Furti  in auto in sosta;9827
83;2019;Furti  di opere d'arte e materiale archeologico;7
84;2019;Furti di automezzi pesanti trasportanti merci;19
85;2019;Furti di ciclomotori;481
86;2019;Furti di motocicli;2073
87;2019;Furti di autovetture;4459
88;2019;Rapine totale;2259
89;2019;Rapine in abitazione;54
90;2019;Rapine in banca;10
91;2019;Rapine in uffici postali;3
92;2019;Rapine in esercizi commerciali;251
93;2019;Rapine in pubblica via;1576
94;2019;Estorsioni ;410
95;2019;Truffe e frodi informatiche ;11233
96;2019;Delitti informatici;655
97;2019;Contraffazione di marchi e prodotti industriali;145
98;2019;Violazione della proprieta' intellettuale;14
99;2019;Ricettazione ;760
100;2019;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;31
101;2019;Usura ;2
102;2019;Danneggiamenti ;15921
103;2019;Incendi totale;96
104;2019;Incendi boschivi;0
105;2019;Danneggiamento seguito da incendio ;145
106;2019;Normativa sugli stupefacenti ;2154
107;2019;Attentati ;4
108;2019;Associazione per delinquere ;9
109;2019;Associazione di tipo mafioso ;3
110;2019;Contrabbando;1
111;2019;Altri delitti;17818
112;2019;Reati totale;137709
113;2018;Strage ;1
114;2018;Omicidi volontari totale;6
115;2018;Omicidi a scopo di furto o rapina;1
116;2018;Omicidi di tipo mafioso;0
117;2018;Omicidi a scopo terroristico;0
118;2018;Tentati omicidi ;41
119;2018;Infanticidi;2
120;2018;Omicidi preterintenzionali ;1
121;2018;Omicidi colposi totale;45
122;2018;Omicidi colposi  da incidente stradale;26
123;2018;Percosse ;519
124;2018;Lesioni dolose ;2132
125;2018;Minacce ;1882
126;2018;Sequestri di persona ;28
127;2018;Ingiurie ;
128;2018;Violenze sessuali ;316
129;2018;Atti sessuali con minorenne ;15
130;2018;Corruzione di minorenne ;4
131;2018;Sfruttamento e favoreggiamento della prostituzione;16
132;2018;Pornografia minorile e detenzione di materiale pedopornografico;25
133;2018;Furti;89773
134;2018;furti con strappo;1634
135;2018;Furti  con destrezza;24717
136;2018;Furti  in abitazioni;6267
137;2018;Furti  in esercizi commerciali;6326
138;2018;Furti  in auto in sosta;11287
139;2018;Furti  di opere d'arte e materiale archeologico;10
140;2018;Furti di automezzi pesanti trasportanti merci;9
141;2018;Furti di ciclomotori;618
142;2018;Furti di motocicli;2592
143;2018;Furti di autovetture;5372
144;2018;Rapine totale;2485
145;2018;Rapine in abitazione;73
146;2018;Rapine in banca;6
147;2018;Rapine in uffici postali;0
148;2018;Rapine in esercizi commerciali;259
149;2018;Rapine in pubblica via;1731
150;2018;Estorsioni ;579
151;2018;Truffe e frodi informatiche ;9626
152;2018;Delitti informatici;556
153;2018;Contraffazione di marchi e prodotti industriali;191
154;2018;Violazione della proprieta' intellettuale;14
155;2018;Ricettazione ;966
156;2018;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;34
157;2018;Usura ;6
158;2018;Danneggiamenti ;15419
159;2018;Incendi totale;87
160;2018;Incendi boschivi;0
161;2018;Danneggiamento seguito da incendio ;137
162;2018;Normativa sugli stupefacenti ;2046
163;2018;Attentati ;4
164;2018;Associazione per delinquere ;15
165;2018;Associazione di tipo mafioso ;1
166;2018;Contrabbando;
167;2018;Altri delitti;16481
168;2018;Reati totale;143453
169;2017;Strage ;0
170;2017;Omicidi volontari totale;11
171;2017;Omicidi a scopo di furto o rapina;2
172;2017;Omicidi di tipo mafioso;0
173;2017;Omicidi a scopo terroristico;0
174;2017;Tentati omicidi ;45
175;2017;Infanticidi;0
176;2017;Omicidi preterintenzionali ;1
177;2017;Omicidi colposi totale;47
178;2017;Omicidi colposi  da incidente stradale;29
179;2017;Percosse ;642
180;2017;Lesioni dolose ;2223
181;2017;Minacce ;2137
182;2017;Sequestri di persona ;44
183;2017;Ingiurie ;58
184;2017;Violenze sessuali ;305
185;2017;Atti sessuali con minorenne ;20
186;2017;Corruzione di minorenne ;5
187;2017;Sfruttamento e favoreggiamento della prostituzione;21
188;2017;Pornografia minorile e detenzione di materiale pedopornografico;29
189;2017;Furti;93654
190;2017;furti con strappo;1559
191;2017;Furti  con destrezza;21775
192;2017;Furti  in abitazioni;7080
193;2017;Furti  in esercizi commerciali;6938
194;2017;Furti  in auto in sosta;12851
195;2017;Furti  di opere d'arte e materiale archeologico;17
196;2017;Furti di automezzi pesanti trasportanti merci;7
197;2017;Furti di ciclomotori;875
198;2017;Furti di motocicli;3019
199;2017;Furti di autovetture;5679
200;2017;Rapine totale;2960
201;2017;Rapine in abitazione;103
202;2017;Rapine in banca;20
203;2017;Rapine in uffici postali;5
204;2017;Rapine in esercizi commerciali;318
205;2017;Rapine in pubblica via;2045
206;2017;Estorsioni ;327
207;2017;Truffe e frodi informatiche ;8225
208;2017;Delitti informatici;502
209;2017;Contraffazione di marchi e prodotti industriali;142
210;2017;Violazione della proprieta' intellettuale;18
211;2017;Ricettazione ;916
212;2017;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;37
213;2017;Usura ;7
214;2017;Danneggiamenti ;15329
215;2017;Incendi totale;93
216;2017;Incendi boschivi;0
217;2017;Danneggiamento seguito da incendio ;128
218;2017;Normativa sugli stupefacenti ;1875
219;2017;Attentati ;7
220;2017;Associazione per delinquere ;11
221;2017;Associazione di tipo mafioso ;0
222;2017;Contrabbando;
223;2017;Altri delitti;18409
224;2017;Reati totale;148228
225;2016;Strage ;1
226;2016;Omicidi volontari totale;10
227;2016;Omicidi a scopo di furto o rapina;1
228;2016;Omicidi di tipo mafioso;0
229;2016;Omicidi a scopo terroristico;0
230;2016;Tentati omicidi ;36
231;2016;Infanticidi;0
232;2016;Omicidi preterintenzionali ;0
233;2016;Omicidi colposi totale;34
234;2016;Omicidi colposi  da incidente stradale;24
235;2016;Percosse ;655
236;2016;Lesioni dolose ;2284
237;2016;Minacce ;2180
238;2016;Sequestri di persona ;29
239;2016;Ingiurie ;442
240;2016;Violenze sessuali ;306
241;2016;Atti sessuali con minorenne ;18
242;2016;Corruzione di minorenne ;6
243;2016;Sfruttamento e favoreggiamento della prostituzione;25
244;2016;Pornografia minorile e detenzione di materiale pedopornografico;18
245;2016;Furti;95651
246;2016;furti con strappo;1503
247;2016;Furti  con destrezza;21512
248;2016;Furti  in abitazioni;8156
249;2016;Furti  in esercizi commerciali;7092
250;2016;Furti  in auto in sosta;14118
251;2016;Furti  di opere d'arte e materiale archeologico;23
252;2016;Furti di automezzi pesanti trasportanti merci;15
253;2016;Furti di ciclomotori;814
254;2016;Furti di motocicli;2922
255;2016;Furti di autovetture;6274
256;2016;Rapine totale;2829
257;2016;Rapine in abitazione;135
258;2016;Rapine in banca;41
259;2016;Rapine in uffici postali;15
260;2016;Rapine in esercizi commerciali;334
261;2016;Rapine in pubblica via;1778
262;2016;Estorsioni ;292
263;2016;Truffe e frodi informatiche ;5697
264;2016;Delitti informatici;466
265;2016;Contraffazione di marchi e prodotti industriali;114
266;2016;Violazione della proprieta' intellettuale;9
267;2016;Ricettazione ;887
268;2016;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;24
269;2016;Usura ;4
270;2016;Danneggiamenti ;15171
271;2016;Incendi totale;110
272;2016;Incendi boschivi;0
273;2016;Danneggiamento seguito da incendio ;133
274;2016;Normativa sugli stupefacenti ;1583
275;2016;Attentati ;3
276;2016;Associazione per delinquere ;9
277;2016;Associazione di tipo mafioso ;0
278;2016;Contrabbando;0
279;2016;Altri delitti;20269
280;2016;Reati totale;149295
281;2015;Strage ;1
282;2015;Omicidi volontari totale;13
283;2015;Omicidi a scopo di furto o rapina;0
284;2015;Omicidi di tipo mafioso;0
285;2015;Omicidi a scopo terroristico;0
286;2015;Tentati omicidi ;41
287;2015;Infanticidi;0
288;2015;Omicidi preterintenzionali ;1
289;2015;Omicidi colposi totale;31
290;2015;Omicidi colposi  da incidente stradale;20
291;2015;Percosse ;657
292;2015;Lesioni dolose ;2448
293;2015;Minacce ;2290
294;2015;Sequestri di persona ;42
295;2015;Ingiurie ;1286
296;2015;Violenze sessuali ;284
297;2015;Atti sessuali con minorenne ;20
298;2015;Corruzione di minorenne ;7
299;2015;Sfruttamento e favoreggiamento della prostituzione;37
300;2015;Pornografia minorile e detenzione di materiale pedopornografico;26
301;2015;Furti;95905
302;2015;furti con strappo;1566
303;2015;Furti  con destrezza;20935
304;2015;Furti  in abitazioni;8524
305;2015;Furti  in esercizi commerciali;7357
306;2015;Furti  in auto in sosta;14391
307;2015;Furti  di opere d'arte e materiale archeologico;19
308;2015;Furti di automezzi pesanti trasportanti merci;22
309;2015;Furti di ciclomotori;1002
310;2015;Furti di motocicli;3327
311;2015;Furti di autovetture;6587
312;2015;Rapine totale;2908
313;2015;Rapine in abitazione;145
314;2015;Rapine in banca;32
315;2015;Rapine in uffici postali;6
316;2015;Rapine in esercizi commerciali;390
317;2015;Rapine in pubblica via;1860
318;2015;Estorsioni ;319
319;2015;Truffe e frodi informatiche ;5293
320;2015;Delitti informatici;444
321;2015;Contraffazione di marchi e prodotti industriali;163
322;2015;Violazione della proprieta' intellettuale;12
323;2015;Ricettazione ;1025
324;2015;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;44
325;2015;Usura ;3
326;2015;Danneggiamenti ;17733
327;2015;Incendi totale;105
328;2015;Incendi boschivi;1
329;2015;Danneggiamento seguito da incendio ;96
330;2015;Normativa sugli stupefacenti ;1511
331;2015;Attentati ;9
332;2015;Associazione per delinquere ;18
333;2015;Associazione di tipo mafioso ;0
334;2015;Contrabbando;3
335;2015;Altri delitti;19231
336;2015;Reati totale;152006
337;2014;Strage ;0
338;2014;Omicidi volontari totale;17
339;2014;Omicidi a scopo di furto o rapina;2
340;2014;Omicidi di tipo mafioso;0
341;2014;Omicidi a scopo terroristico;0
342;2014;Tentati omicidi ;42
343;2014;Infanticidi;0
344;2014;Omicidi preterintenzionali ;1
345;2014;Omicidi colposi totale;44
346;2014;Omicidi colposi  da incidente stradale;33
347;2014;Percosse ;600
348;2014;Lesioni dolose ;2259
349;2014;Minacce ;2272
350;2014;Sequestri di persona ;49
351;2014;Ingiurie ;1294
352;2014;Violenze sessuali ;244
353;2014;Atti sessuali con minorenne ;19
354;2014;Corruzione di minorenne ;5
355;2014;Sfruttamento e favoreggiamento della prostituzione;30
356;2014;Pornografia minorile e detenzione di materiale pedopornografico;24
357;2014;Furti;104287
358;2014;furti con strappo;1872
359;2014;Furti  con destrezza;23579
360;2014;Furti  in abitazioni;9426
361;2014;Furti  in esercizi commerciali;7774
362;2014;Furti  in auto in sosta;15786
363;2014;Furti  di opere d'arte e materiale archeologico;18
364;2014;Furti di automezzi pesanti trasportanti merci;21
365;2014;Furti di ciclomotori;1120
366;2014;Furti di motocicli;3698
367;2014;Furti di autovetture;6803
368;2014;Rapine totale;3340
369;2014;Rapine in abitazione;171
370;2014;Rapine in banca;33
371;2014;Rapine in uffici postali;17
