Nome;TAB1;INFO;Zona;indirizzo;LONG_X_4326;LAT_Y_4326;Location
FAMAGOSTA;2200 POSTI AUTO;CORRISPONDENZA  LINEA MM2;"6";VLE FAMAGOSTA;9.16952893038711;45.4366214446343;"(45.4366214446343, 9.16952893038711)"
SAN DONATO - EMILIA;1000 POSTI AUTO;CORRISPONDENZA  LINEA MM3;"4";VIA SAN DONATO - EMILIA;9.25798833671568;45.4297062450598;"(45.4297062450599, 9.25798833671568)"
MOLINETTO DI LORENTEGGIO;450 POSTI AUTO;CORRISPONDENZA  LINEA TRAM 14;"6";VIA MOLINETTO DI LORENTEGGIO;9.11699704658019;45.4427942503768;"(45.4427942503768, 9.11699704658019)"
MOLINO DORINO;1700 POSTI AUTO;CORRISPONDENZA  LINEA MM1;"8";VIA MOLINO DORINO;9.09466486494249;45.505861435613;"(45.505861435613, 9.09466486494249)"
SAN LEONARDO;360 POSTI AUTO;CORRISPONDENZA  LINEA MM1;"8";VIA SAN LEONARDO;9.10223834575858;45.5002395628536;"(45.5002395628536, 9.10223834575858)"
RIPAMONTI;140 POSTI AUTO;CORRISPONDENZA  LINEA TRAM 24;"5";VLE RIPAMONTI;9.20354559006697;45.4210097529568;"(45.4210097529568, 9.20354559006697)"
FORLANINI;400 POSTI AUTO;"CORRISPONDENZA  LINEA TRAM 27, BUS 73 e 45";"4";VLE FORLANINI;9.2393248031905;45.4631411197456;"(45.4631411197456, 9.2393248031905)"
CRESCENZAGO;600 POSTI AUTO;CORRISPONDENZA  LINEA MM2;"3";VIA CRESCENZAGO;9.24809368429248;45.5039982138058;"(45.5039982138058, 9.24809368429248)"
CASCINA GOBBA;1373 POSTI AUTO (1356 + 17 disabili);CORRISPONDENZA  LINEA MM2;"3";VIA CASCINA GOBBA;9.2605238628698;45.5097359621031;"(45.5097359621031, 9.2605238628698)"
BOVISA;1200 POSTI AUTO;CORRISPONDENZA  LINEA INTERSCAMBIO CON FNM;"9";VIA BOVISA;9.16053739157215;45.5029358609749;"(45.5029358609749, 9.16053739157215)"
ORNATO;320 POSTI AUTO;CORRISPONDENZA  LINEA METROTRANVIA NORD;"9";VIA ORNATO;9.1913878378031;45.5249935717409;"(45.5249935717409, 9.1913878378031)"
ROMOLO;515 POSTI AUTO (464 + 44 rosa + 7 disabili);CORRISPONDENZA  LINEA MM2;"6";VIA ROMOLO;9.16816444263127;45.4417345553592;"(45.4417345553592, 9.16816444263127)"
LAMPUGNANO;2000 POSTI AUTO;CORRISPONDENZA  LINEA MM1;"8";VIA LAMPUGNANO;9.12782224403074;45.488762996408;"(45.488762996408, 9.12782224403074)"
BISCEGLIE;1400 POSTI AUTO;CORRISPONDENZA  LINEA MM1;"6";VIA BISCEGLIE;9.11384215485425;45.45362338483;"(45.45362338483, 9.11384215485425)"
SAN DONATO - PAULLESE;1000 POSTI AUTO;CORRISPONDENZA  LINEA MM3;"4";VIA SAN DONATO - PAULLESE;9.25841316568117;45.4303079849084;"(45.4303079849084, 9.25841316568117)"
COLOGNO NORD;614 POSTI AUTO;CORRISPONDENZA  LINEA MM2;Fuori Comune;"-";9.29131422046106;45.5333025419392;"(45.5333025419392, 9.29131422046106)"
GESSATE;500 POSTI AUTO;CORRISPONDENZA  LINEA MM2;Fuori Comune;"-";9.43922692168014;45.5462755986519;"(45.5462755986519, 9.43922692168014)"
CATERINA DA FORLI';399 POSTI AUTO;CORRISPONDENZA  LINEA MM1;"7";VIA CATERINA DA FORLI';9.13865507937743;45.4611316677658;"(45.4611316677658, 9.13865507937743)"
QUARTO OGGIARO;543 POSTI AUTO (509 + 18 rosa + 17 disabili);CORRISPONDENZA  LINEA FERROVIE NORD;"9";ZONA QUARTO OGGIARO;9.14678968130424;45.5196715216155;"(45.5196715216155, 9.14678968130424)"
MACIACHINI;426 POSTI AUTO (387 + 30 rosa + 9 disabili);CORRISPONDENZA  LINEA MM3;"9";PLE MACIACHINI;9.18849855454532;45.4977104564263;"(45.4977104564263, 9.18849855454532)"
EINAUDI;727 POSTI AUTO;CORRISPONDENZA  LINEA MM2;"9";PZA EINAUDI;9.19450913634789;45.4833978773584;"(45.4833978773584, 9.19450913634789)"
