linea;mezzo;percorso;nome;lung_km;num_ferm;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
1;METRO;100002;BISCEGLIE - SESTO 1 MAGGIO FS;16.38;27;9.18753014371281;45.4834919858101;"(45.4834919858101, 9.18753014371281)"
1;METRO;100013;MOLINO DORINO - SESTO 1 MAGGIO FS;19.18;29;9.17696606894993;45.4904076482896;"(45.4904076482896, 9.17696606894993)"
1;METRO;100023;QT8 - SESTO 1 MAGGIO FS;15.07;24;9.19616619556978;45.4888543183143;"(45.4888543183143, 9.19616619556978)"
1;METRO;100030;RHO FIERAMILANO - SESTO 1 MAGGIO FS;21.16;31;9.16897435263358;45.4922413524403;"(45.4922413524403, 9.16897435263358)"
1;METRO;100033;SESTO 1 MAGGIO FS - BISCEGLIE;16.38;27;9.18753014371281;45.4834919858101;"(45.4834919858101, 9.18753014371281)"
1;METRO;100034;SESTO 1 MAGGIO FS - MOLINO DORINO;19.18;29;9.17696606894993;45.4904076482896;"(45.4904076482896, 9.17696606894993)"
1;METRO;100035;SESTO 1 MAGGIO FS - RHO FIERAMILANO;21.16;31;9.16897435263358;45.4922413524403;"(45.4922413524403, 9.16897435263358)"
1;METRO;100038;SESTO MARELLI - SESTO 1 MAGGIO FS;2.22;3;9.23207674403436;45.533219425726;"(45.533219425726, 9.23207674403436)"
1;METRO;100042;VILLA S.G. - BISCEGLIE;13.48;24;9.17943672448603;45.4747582221548;"(45.4747582221548, 9.17943672448603)"
1;METRO;100043;VILLA S.G. - RHO FIERAMILANO;18.26;28;9.16026398624519;45.486886680842;"(45.486886680842, 9.16026398624519)"
2;METRO;100045;ABBIATEGRASSO - CASCINA GOBBA;15.30;20;9.20392280534328;45.4757703438641;"(45.4757703438641, 9.20392280534328)"
2;METRO;100047;ABBIATEGRASSO - COLOGNO NORD;18.89;23;9.21783927393326;45.4846602833999;"(45.4846602833999, 9.21783927393326)"
2;METRO;100048;ABBIATEGRASSO - GESSATE;30.05;30;9.2803301952035;45.5017693802267;"(45.5017693802267, 9.2803301952035)"
2;METRO;100050;ASSAGO MILANOFIORI FORUM - CASCINA GOBBA;18.51;21;9.19568928834051;45.4659268973838;"(45.4659268973838, 9.19568928834051)"
2;METRO;100052;ASSAGO MILANOFIORI FORUM - COLOGNO NORD;22.09;24;9.20917397382789;45.4753093158473;"(45.4753093158473, 9.20917397382789)"
2;METRO;100053;ASSAGO MILANOFIORI FORUM - GESSATE;33.25;31;9.26993891910903;45.4946082788939;"(45.4946082788939, 9.26993891910903)"
2;METRO;100058;CASCINA ANTONIETTA - GESSATE;1.08;2;9.43006868521809;45.5436745031413;"(45.5436745031413, 9.43006868521809)"
2;METRO;100059;CASCINA GOBBA - ABBIATEGRASSO;15.30;20;9.20392280534327;45.475770343864;"(45.475770343864, 9.20392280534327)"
2;METRO;100060;CASCINA GOBBA - ASSAGO MILANOFIORI FORUM;18.51;21;9.1956892883405;45.4659268973838;"(45.4659268973838, 9.1956892883405)"
2;METRO;100066;COLOGNO NORD - ABBIATEGRASSO;18.89;23;9.21783927393326;45.4846602833998;"(45.4846602833998, 9.21783927393326)"
2;METRO;100067;COLOGNO NORD - ASSAGO MILANOFIORI FORUM;22.09;24;9.20917397382788;45.4753093158472;"(45.4753093158472, 9.20917397382788)"
2;METRO;100070;FAMAGOSTA - ASSAGO MILANOFIORI FORUM;4.54;3;9.15771730620247;45.4190964371088;"(45.4190964371088, 9.15771730620247)"
2;METRO;100073;GESSATE - ABBIATEGRASSO;30.05;30;9.2803301952035;45.5017693802266;"(45.5017693802266, 9.2803301952035)"
2;METRO;100074;GESSATE - ASSAGO MILANOFIORI FORUM;33.25;31;9.26993891910903;45.4946082788938;"(45.4946082788938, 9.26993891910903)"
2;METRO;100077;GORGONZOLA - ABBIATEGRASSO;27.29;28;9.26500111841571;45.4974488490578;"(45.4974488490578, 9.26500111841571)"
2;METRO;100080;GORGONZOLA - GESSATE;2.76;3;9.4200037535579;45.5411366539832;"(45.5411366539832, 9.4200037535579)"
2;METRO;100095;GORGONZOLA - ASSAGO MILANOFIORI FORUM;30.49;29;9.25492822392799;45.4899541355144;"(45.4899541355144, 9.25492822392799)"
3;METRO;100081;COMASINA - SAN DONATO;15.63;21;9.20242015588286;45.470527407491;"(45.470527407491, 9.20242015588286)"
3;METRO;100082;SAN DONATO - COMASINA;15.63;21;9.20242015588286;45.470527407491;"(45.470527407491, 9.20242015588286)"
5;METRO;100084;BIGNAMI - SAN SIRO STADIO;12.18;19;9.17208233697968;45.4900520315291;"(45.4900520315291, 9.17208233697968)"
5;METRO;100089;SAN SIRO STADIO - BIGNAMI;12.18;19;9.17208233699432;45.4900520315069;"(45.4900520315069, 9.17208233699432)"
