linea;mezzo;percorso;verso;nome;tipo_perc;lung_km;num_ferm;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
1;TRAM;12560;Di;Roserio - Greco;Canonico;13.82;48;9.16974100864076;45.4859750999689;"(45.4859750999689, 9.16974100864076)"
1;TRAM;9457;As;Greco - Roserio;Canonico;13.97;47;9.16941433348214;45.4863116993079;"(45.4863116993079, 9.16941433348214)"
10;TRAM;11767;As;Lunigiana -24 Maggio;Canonico;9.22;35;9.17865796878257;45.4741964733908;"(45.4741964733908, 9.17865796878257)"
10;TRAM;11790;Di;24 Maggio - Lunigiana;Canonico;9.19;35;9.17849012195658;45.4739436104468;"(45.4739436104468, 9.17849012195658)"
115;BUS;10025;As;Gratosoglio - P.za Diaz;Canonico;7.35;21;9.17933222505233;45.4339331905281;"(45.4339331905281, 9.17933222505233)"
115;BUS;9665;Di;P.za Diaz - Gratosoglio;Canonico;7.96;21;9.17963734227983;45.4349223564209;"(45.4349223564209, 9.17963734227983)"
12;TRAM;12574;As;Roserio - Molise;Canonico;12.96;40;9.17190987884445;45.4835079494627;"(45.4835079494627, 9.17190987884445)"
12;TRAM;4282;Di;Molise - Roserio;Canonico;12.99;41;9.1710179375591;45.4840603592944;"(45.4840603592944, 9.1710179375591)"
121;BUS;4241;Di;S.Giuliano M. (De Nicola) - Stz S.Donato M3;Barrato;6.18;14;9.26561310428521;45.4145376130618;"(45.4145376130618, 9.26561310428521)"
121;BUS;4242;Di;S.Giuliano M. (Stz F.S.) - Stz S.Donato M3;Canonico;6.44;15;9.26603347185158;45.4125556960543;"(45.4125556960543, 9.26603347185158)"
121;BUS;4872;As;"Stz S.Donato M3 - S.Giuliano M (Stz F.S,)";Canonico;6.37;13;9.26632071518573;45.4118551860766;"(45.4118551860766, 9.26632071518573)"
121;BUS;4873;As;Stz S.Donato M3 - S.Giuliano M (De Nicola);Barrato;6.09;12;9.2658868013166;45.4139308430954;"(45.4139308430954, 9.2658868013166)"
124;BUS;11634;As;Vigentino - Duomo;Canonico;5.33;16;9.19829635891521;45.4405981818096;"(45.4405981818096, 9.19829635891521)"
124;BUS;11635;Di;Duomo - Vigentino;Canonico;5.64;17;9.1984942156227;45.4413575463863;"(45.4413575463863, 9.1984942156227)"
125;BUS;10011;As;Centrale FS M2 M3 - Cadorna FN M1 M2;Canonico;5.72;9;9.18067264796794;45.4805971659072;"(45.4805971659072, 9.18067264796794)"
126;BUS;9970;As;Centrale FS M2 M3 - Cadorna FN M1 M2;Canonico;10.87;26;9.19170067727802;45.4627560919622;"(45.4627560919622, 9.19170067727802)"
126;BUS;9971;Di;Cadorna FN M1 M2 - Centrale FS M2 M3;Canonico;5.26;9;9.18037853001007;45.4813040633905;"(45.4813040633905, 9.18037853001007)"
130;BUS;12176;As;S.Donato M3 - S.Giuliano M.se (mercato sabato);Barrato;10.32;26;9.28328611439911;45.40607449211;"(45.40607449211, 9.28328611439911)"
130;BUS;12177;As;S.Donato M3 - S.Giuliano M.se;Canonico;9.68;27;9.28229107165193;45.4065747240931;"(45.4065747240931, 9.28229107165193)"
130;BUS;12178;Di;S.Giuliano M.se - S. Donato M3;Canonico;9.85;27;9.28334413772365;45.4058007964324;"(45.4058007964324, 9.28334413772365)"
130;BUS;12179;Di;S.Giuliano M.se - S. Donato M3 (mercato sabato);Barrato;10.73;26;9.28439396168162;45.4050732085495;"(45.4050732085495, 9.28439396168162)"
132;BUS;11825;Di;S. Donato (Di Vittorio) - S. Donato M3 (Marignano);Canonico;8.91;25;9.26446006017117;45.4191303626979;"(45.4191303626979, 9.26446006017117)"
132;BUS;12196;As;S. Donato M3 (Marignano) - S. Donato ( Di Vittorio);Canonico;6.62;19;9.26524824683231;45.4145578295359;"(45.4145578295359, 9.26524824683231)"
14;TRAM;12603;As;Cim. Maggiore - Lorenteggio;Canonico;14.45;43;9.15555009732849;45.4698584606022;"(45.4698584606022, 9.15555009732849)"
14;TRAM;12607;As;Stz. Genova - Lorenteggio;Barrato;5.48;17;9.14485367294818;45.4492296069609;"(45.4492296069609, 9.14485367294818)"
14;TRAM;12625;Di;Lorenteggio - Cim. Maggiore;Canonico;14.33;46;9.15583100143228;45.4707037804114;"(45.4707037804114, 9.15583100143228)"
14;TRAM;12629;Di;Lorenteggio - Stz. Genova;Barrato;5.16;16;9.14597032115871;45.4495288317411;"(45.4495288317411, 9.14597032115871)"
140;BUS;12073;Di;Cefalonia - Rogoredo;Canonico;16.04;32;9.24951658488692;45.4070277789277;"(45.4070277789277, 9.24951658488692)"
140;BUS;12074;As;Rogoredo - Cefalonia;Canonico;15.60;29;9.24843362272219;45.4067941082296;"(45.4067941082296, 9.24843362272219)"
15;TRAM;9901;Di;Dogana M1 M3 - Rozzano Via G. Rossa;Canonico;11.78;32;9.17388760105661;45.4140400329759;"(45.4140400329759, 9.17388760105661)"
15;TRAM;9903;As;Rozzano Via G. Rossa - Dogana M1 M3;Canonico;11.39;32;9.17444997048822;45.4147701720185;"(45.4147701720185, 9.17444997048822)"
15;TRAM;9904;As;Rozzano Via G. Rossa - Giambologna/Tabacchi;Barrato;9.69;27;9.17232373872161;45.4079503206471;"(45.4079503206471, 9.17232373872161)"
151;BUS;10036;Di;Sesto FS - Molino Dorino;Canonico;22.27;36;9.17640950001343;45.489114363009;"(45.489114363009, 9.17640950001343)"
151;BUS;11202;Di;Cairoli M1 - Q.re Olmi;Canonico;11.85;27;9.12657602229072;45.460875557892;"(45.460875557892, 9.12657602229072)"
151;BUS;12453;As;Q.re Olmi - Cairoli M1;Canonico;10.02;23;9.12951709524669;45.461482194475;"(45.461482194475, 9.12951709524669)"
151;BUS;9696;As;Molino Dorino M1 - Sesto FS;Canonico;22.15;35;9.17529459560926;45.4899716150362;"(45.4899716150362, 9.17529459560926)"
152;BUS;12448;As;Cascina Gobba M2 - Abbiategrasso M2 (LAVORI PACINI);Canonico;22.14;26;9.19713720250741;45.4715076061785;"(45.4715076061785, 9.19713720250741)"
153;BUS;12314;As;San Donato M3 - Comasina M3;Canonico;19.60;30;9.20593884506605;45.467293071265;"(45.467293071265, 9.20593884506605)"
153;BUS;12493;Di;Comasina M3 - San Donato M3;Canonico;21.55;29;9.20533942165655;45.4689790200798;"(45.4689790200798, 9.20533942165655)"
16;TRAM;12162;As;M.te Velino - S.Siro;Canonico;10.17;35;9.17694465522051;45.4636385957768;"(45.4636385957768, 9.17694465522051)"
16;TRAM;12163;As;M.te Velino - De Angeli;Barrato;7.62;26;9.19034095069567;45.4602002613628;"(45.4602002613628, 9.19034095069567)"
16;TRAM;7793;As;De Angeli - S.Siro;Barrato;2.60;10;9.13660677444696;45.4739100644578;"(45.4739100644578, 9.13660677444696)"
16;TRAM;7794;Di;S.Siro - M.te Velino;Canonico;10.46;36;9.17678335348456;45.4636837624725;"(45.4636837624725, 9.17678335348456)"
16;TRAM;7796;Di;S.Siro - De Angeli;Barrato;2.75;10;9.13582115324681;45.4740188648556;"(45.4740188648556, 9.13582115324681)"
165;BUS;10013;Di;Limbiate - Comasina M3;Canonico;12.76;18;9.14395801315857;45.5761449254674;"(45.5761449254674, 9.14395801315857)"
165;BUS;9750;As;Comasina M3 - Limbiate;Canonico;12.31;19;9.1420118663997;45.5807788007425;"(45.5807788007425, 9.1420118663997)"
166;BUS;6142;As;Milano (Zara) - Desio;Barrato;18.18;36;9.19466895991952;45.5615573791889;"(45.5615573791889, 9.19466895991952)"
166;BUS;6145;As;Parco nord - Desio;Canonico;13.43;23;9.19586265868891;45.5819250492238;"(45.5819250492238, 9.19586265868891)"
166;BUS;8842;Di;Desio - Milano (Parco Nord);Canonico;14.19;24;9.19602827716271;45.5850747649208;"(45.5850747649208, 9.19602827716271)"
166;BUS;8843;Di;Desio - Milano (Zara M3);Barrato;18.03;38;9.19492286931175;45.5687208400139;"(45.5687208400139, 9.19492286931175)"
171;BUS;7893;As;Interno Cim. Maggiore (Campo 1 Campo 92);Canonico;1.16;7;9.11391989494411;45.5071644742569;"(45.5071644742569, 9.11391989494411)"
171;BUS;7894;Di;Interno Cim.Maggiore (campo 92 campo 1);Canonico;1.11;8;9.11506959940248;45.5065361875336;"(45.5065361875336, 9.11506959940248)"
172;BUS;10590;As;Bicocca - Cim. Bruzzano;Canonico;7.39;16;9.19457241127656;45.516905953752;"(45.516905953752, 9.19457241127656)"
172;BUS;3976;Di;Martiri della Deportazione - Bicocca;Canonico;7.09;18;9.19495900013538;45.5167492486716;"(45.5167492486716, 9.19495900013538)"
174;BUS;12521;As;Turro - Cim. Greco - Loreto;Canonico;9.29;14;9.21760512496516;45.4997524827098;"(45.4997524827098, 9.21760512496516)"
174;BUS;8862;Di;Loreto - Cim. Greco - Turro;Canonico;6.69;12;9.21745074054293;45.5015164728275;"(45.5015164728275, 9.21745074054293)"
175;BUS;11678;Di;Cim. Lambrate - P.te lambro;Canonico;13.52;43;9.24470406262844;45.4646719979354;"(45.4646719979354, 9.24470406262844)"
176;BUS;2982;As;Ingresso - Campo 12;Canonico;0.67;4;9.18299860008512;45.5311018423948;"(45.5311018423948, 9.18299860008512)"
176;BUS;2983;Di;Campo 12 - Ingresso;Canonico;0.68;4;9.18062696239197;45.5310057007074;"(45.5310057007074, 9.18062696239197)"
179;BUS;9929;As;Comasina M3 - Limbiate;Canonico;11.69;24;9.14377751380002;45.5780174188724;"(45.5780174188724, 9.14377751380002)"
179;BUS;9931;As;Varedo - Limbiate;Barrato;4.05;10;9.13081973029957;45.6032458615096;"(45.6032458615096, 9.13081973029957)"
179;BUS;9933;Di;Limbiate - Comasina M3;Canonico;11.34;22;9.14380356843533;45.577233302004;"(45.577233302004, 9.14380356843533)"
179;BUS;9934;Di;Limbiate - Varedo;Barrato;3.70;8;9.12944492329253;45.6039165446377;"(45.6039165446377, 9.12944492329253)"
19;TRAM;9366;Di;Castelli - Lambrate;Canonico;12.45;43;9.19005902682059;45.4749548324082;"(45.4749548324082, 9.19005902682059)"
19;TRAM;9367;Di;Cacciatori delle Alpi - Lambrate;Barrato;13.93;49;9.18503335677182;45.4777885458744;"(45.4777885458744, 9.18503335677182)"
19;TRAM;9398;As;Lambrate - Castelli;Canonico;12.28;43;9.18959959131546;45.4750519192561;"(45.4750519192561, 9.18959959131546)"
2;TRAM;12381;As;Bausan - Negrelli;Canonico;10.48;34;9.17221116093937;45.4694103285373;"(45.4694103285373, 9.17221116093937)"
2;TRAM;4653;Di;Negrelli - Bausan;Canonico;10.40;33;9.17257132432048;45.4697809000154;"(45.4697809000154, 9.17257132432048)"
201;BUS;10050;;Rozzano (Milano) - Rozzano (Cabrini);Barrato;1.79;6;9.15816448201158;45.3837775886648;"(45.3837775886648, 9.15816448201158)"
201;BUS;12132;;Rozzano (Alberelle) - Rozzano (Milano);Canonico;8.05;25;9.16160925214972;45.3911102428134;"(45.3911102428134, 9.16160925214972)"
201;BUS;12133;;Rozzano (Cabrini) - Rozzano (Milano);Barrato;1.68;8;9.1557677325701;45.3839109803511;"(45.3839109803511, 9.1557677325701)"
201;BUS;12174;;Rozzano (Milano) - Rozzano (Alberelle);Canonico;6.45;19;9.16243810373918;45.3905820780721;"(45.3905820780721, 9.16243810373918)"
220;BUS;10544;;Rozzano - Locate Triulzi;Canonico;19.96;35;9.19068121319649;45.3679231341028;"(45.3679231341028, 9.19068121319649)"
220;BUS;10545;;Rozzano - Pieve;Barrato;16.28;39;9.18065747927296;45.363389550096;"(45.363389550096, 9.18065747927296)"
220;BUS;10547;;Locate Triulzi - Rozzano;Canonico;20.77;35;9.19182041826241;45.3672837671905;"(45.3672837671905, 9.19182041826241)"
220;BUS;10548;;Pieve - Rozzano;Barrato;15.50;35;9.1803570523088;45.3645069654882;"(45.3645069654882, 9.1803570523088)"
222;BUS;11656;;Milano (Ripamonti) - Pieve E. (Coppi) (trans. in zerbo)                         ;Canonico;12.83;24;9.20639432839831;45.3739780174966;"(45.3739780174966, 9.20639432839831)"
