ANNOSCOL;CODICE;DENOMINAZIONE;GRADO;TIPO;PARITARIA;INDIRIZZO;CODVIA;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
1415;1001;Ariberto, 12 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via ARIBERTO DA INTIMIANO 12;5092;1;7;MAGENTA - S. VITTORE;9.17377692911;45.4585125867;(45.4585125867, 9.17377692911)
1415;1002;PIO ISTITUTO BUON PASTORE;Scuola dell'infanzia;Ente religioso;SI;Via SAN VITTORE 29;647;1;7;MAGENTA - S. VITTORE;9.1696323647;45.4634431499;(45.4634431499, 9.1696323647)
1415;1004;MADRE CABRINI;Scuola dell'infanzia;Ente religioso;SI;Corso DI PORTA ROMANA 105;402;1;4;GUASTALLA;9.19892409768;45.4542760424;(45.4542760424, 9.19892409768)
1415;1005;SUORE CANOSSIANE;Scuola dell'infanzia;Ente religioso;SI;Via DELLA CHIUSA 9;590;1;1;DUOMO;9.18449821333;45.457846245;(45.457846245, 9.18449821333)
1415;1006;ISTITUTO GIACOMO LEOPARDI - SANT'ANNA;Scuola dell'infanzia;Ente privato laico;SI;Via ARENA 13;5182;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.17935340899;45.4558715769;(45.4558715769, 9.17935340899)
1415;1007;Arena, 21 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via ARENA 21;5182;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.17800738145;45.4544627664;(45.4544627664, 9.17800738145)
1415;1008;CONTI CICOGNA;Scuola dell'infanzia;Ente religioso;SI;Via VINCENZO BELLINI 2;3034;1;4;GUASTALLA;9.20448185217;45.4655315159;(45.4655315159, 9.20448185217)
1415;1009;Crivelli, 21 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via CARLO CRIVELLI 21;4024;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.194984059;45.4529589307;(45.4529589307, 9.194984059)
1415;1011;Dandolo, 5 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via ENRICO DANDOLO 5;3028;1;4;GUASTALLA;9.20436709779;45.4634042382;(45.4634042382, 9.20436709779)
1415;1012;Spiga, 27 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via DELLA SPIGA 27;226;1;1;DUOMO;9.19593773296;45.4708790202;(45.4708790202, 9.19593773296)
1415;1016;SUORE MARCELLINE;Scuola dell'infanzia;Ente religioso;SI;Via QUADRONNO 15;4021;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.19254952487;45.4543201773;(45.4543201773, 9.19254952487)
1415;1017;SUORE MARCELLINE;Scuola dell'infanzia;Ente religioso;SI;Piazza NICCOLO' TOMMASEO 1;6175;1;7;MAGENTA - S. VITTORE;9.16723776787;45.4695776369;(45.4695776369, 9.16723776787)
1415;1018;Pta Venezia, 9 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Bastioni DI PORTA VENEZIA 9;2106;1;3;GIARDINI P.TA VENEZIA;9.20066473446;45.4757773246;(45.4757773246, 9.20066473446)
1415;1020;Palermo, 9 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via PALERMO 9;1025;1;2;BRERA;9.18538313743;45.4752157145;(45.4752157145, 9.18538313743)
1415;1021;Fll Ruffini, 6/A Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via FRATELLI RUFFINI 6;6163;1;7;MAGENTA - S. VITTORE;9.17007067788;45.4665621999;(45.4665621999, 9.17007067788)
1415;1023;S. Croce, 5 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via SANTA CROCE 5;5188;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.18329336952;45.454838192;(45.454838192, 9.18329336952)
1415;1027;S. Orsola, 17 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via SANT'ORSOLA 17;649;1;1;DUOMO;9.17985459795;45.4624801035;(45.4624801035, 9.17985459795)
1415;1030;SUORE FRANCESCANE MISSIONARIE DI GESU' BAMBINO;Scuola dell'infanzia;Ente religioso;SI;Via DELLA MOSCOVA 64;1016;1;2;BRERA;9.18287690786;45.4782536546;(45.4782536546, 9.18287690786)
1415;1031;SUORE ORSOLINE DI SAN CARLO;Scuola dell'infanzia;Ente religioso;SI;Via LANZONE 53;554;1;1;DUOMO;9.17457650158;45.4615112963;(45.4615112963, 9.17457650158)
1415;1032;P.Ta Vigentina, 15/A Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Corso DI PORTA VIGENTINA 15;4026;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.19609342537;45.4541084188;(45.4541084188, 9.19609342537)
1415;1033;ISTITUTO VITTORIA COLONNA;Scuola dell'infanzia;Ente religioso;SI;Via CONSERVATORIO 4;3031;1;4;GUASTALLA;9.20327153762;45.4642846289;(45.4642846289, 9.20327153762)
1415;1034;MONTESSORI S.R.L;Scuola dell'infanzia;Ente privato laico;SI;Via MILAZZO 9;1034;1;2;BRERA;9.1875804786;45.4794514928;(45.4794514928, 9.1875804786)
1415;1035;NUOVA EDUCAZIONE;Scuola dell'infanzia;Ente privato laico;SI;Via PACE 10;3150;1;4;GUASTALLA;9.20294814951;45.4588076258;(45.4588076258, 9.20294814951)
1415;1036;ASSOCIAZIONE SCUOLA SVIZZERA;Scuola dell'infanzia;Ente privato laico;No;Via ANDREA APPIANI 21;1050;1;2;BRERA;9.19408186928;45.4785158582;(45.4785158582, 9.19408186928)
1415;1037;MARIA CONSOLATRICE;Scuola dell'infanzia;Ente religioso;SI;Via MELCHIORRE GIOIA 51;1108;2;11;ISOLA;9.19842072671;45.4876141675;(45.4876141675, 9.19842072671)
1415;1038;Della Giustizia, 6 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via DELLA GIUSTIZIA 6;1410;2;13;GRECO - SEGNANO;9.20723477889;45.4987201351;(45.4987201351, 9.20723477889)
1415;1039;Fortis, 10 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via LEONE FORTIS 10;1353;2;12;MACIACHINI - MAGGIOLINA;9.1957698019;45.4958912349;(45.4958912349, 9.1957698019)
1415;1040;Galvani, 9 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via LUIGI GALVANI 9;1179;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.19997298318;45.4857684654;(45.4857684654, 9.19997298318)
1415;1043;Quadrio, 10 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via MAURIZIO QUADRIO 10;1115;9;9;PORTA GARIBALDI - PORTA NUOVA;9.18431972887;45.4840024804;(45.4840024804, 9.18431972887)
1415;1044;Muzio, 9 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via EMANUELE MUZIO 9;1218;2;12;MACIACHINI - MAGGIOLINA;9.19941560999;45.4912289752;(45.4912289752, 9.19941560999)
1415;1046;Pallanza, 26 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via PALLANZA 26;1453;2;12;MACIACHINI - MAGGIOLINA;9.2042626848;45.5022124888;(45.5022124888, 9.2042626848)
1415;1047;Pastrengo, 10 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via PASTRENGO 10;1127;9;11;ISOLA;9.18701891656;45.4866412667;(45.4866412667, 9.18701891656)
1415;1048;Porta Nuova, 6 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Bastioni DI PORTA NUOVA 6;1062;1;2;BRERA;9.19078797171;45.4800553352;(45.4800553352, 9.19078797171)
1415;1049;Ragusa , 5 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via RAGUSA 5;1351;2;12;MACIACHINI - MAGGIOLINA;9.19666726738;45.4974607664;(45.4974607664, 9.19666726738)
1415;1050;SAN GIOACHIMO;Scuola dell'infanzia;Ente religioso;SI;Via FABIO FILZI 1;1190;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.19855315725;45.4819986953;(45.4819986953, 9.19855315725)
1415;1051;SAN MARTINO IN GRECO;Scuola dell'infanzia;Ente religioso;SI;Piazza GRECO 11;1417;2;13;GRECO - SEGNANO;9.21233827241;45.5020329847;(45.5020329847, 9.21233827241)
1415;1052;SANT'ANGELA MERICI;Scuola dell'infanzia;Ente religioso;SI;Via GIOVANNI CAGLIERO 24;1407;2;12;MACIACHINI - MAGGIOLINA;9.20078391305;45.4967444035;(45.4967444035, 9.20078391305)
1415;1053;SUORE MARCELLINE;Scuola dell'infanzia;Ente religioso;SI;Piazza CASERTA 6;1338;9;12;MACIACHINI - MAGGIOLINA;9.19610227558;45.5014437459;(45.5014437459, 9.19610227558)
1415;1056;Toce, 7 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via TOCE 7;1325;9;11;ISOLA;9.18583756639;45.492521254;(45.492521254, 9.18583756639)
1415;1057;Matteucci, 5 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via CARLO MATTEUCCI 5;2167;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.21641240172;45.481319548;(45.481319548, 9.21641240172)
1415;1058;Benedetto Marcello, 9 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via BENEDETTO MARCELLO 9;2128;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.20661153224;45.47994138;(45.47994138, 9.20661153224)
1415;1060;Goldoni, 13 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via CARLO GOLDONI 13;3183;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.21058456155;45.4692853946;(45.4692853946, 9.21058456155)
1415;1062;Pergolesi, 17 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via GIOVANNI BATTISTA PERGOLESI 17;2231;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.21106541355;45.4844830477;(45.4844830477, 9.21106541355)
1415;1063;SANTISSIMO REDENTORE;Scuola dell'infanzia;Ente religioso;SI;Via PIER LUIGI DA PALESTRINA 11;2235;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.21332238219;45.4853590791;(45.4853590791, 9.21332238219)
1415;1064;Stoppani, 3 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via ANTONIO STOPPANI 3;2163;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.21211770277;45.4759383359;(45.4759383359, 9.21211770277)
1415;1066;Anfossi, 26 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via AUGUSTO ANFOSSI 26;3071;4;26;XXII MARZO;9.21275063685;45.4593830176;(45.4593830176, 9.21275063685)
1415;1067;DONZELLI BENIAMINO E BICE - ISTITUO CANOSSIANE;Scuola dell'infanzia;Ente religioso;SI;Via TAGLIAMENTO 12;4147;4;35;LODI - CORVETTO;9.21275521826;45.4435424306;(45.4435424306, 9.21275521826)
1415;1068;Bezzecca, 16 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via BEZZECCA 16;3075;4;26;XXII MARZO;9.21244906163;45.460746949;(45.460746949, 9.21244906163)
