ANNOSCOL;CODICE;DENOMINAZIONE;GRADO;TIPO;PARITARIA;INDIRIZZO;CODVIA;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
1415;2000;PAOLO E LARISSA PINI;Scuola primaria;Statale;No;Via STEFANARDO DA VIMERCATE 14;2456;2;16;GORLA - PRECOTTO;9.22648224656;45.5063408362;(45.5063408362, 9.22648224656)
1415;2002;ISTITUTO GIACOMO LEOPARDI;Scuola primaria;Ente privato laico;SI;Via ARENA 13;5182;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.17935340899;45.4558715769;(45.4558715769, 9.17935340899)
1415;2003;ARIBERTO DA INTIMIANO - SANTA MADDALENA DI CANOSSA;Scuola primaria;Statale;No;Via ARIBERTO DA INTIMIANO 14;5092;1;7;MAGENTA - S. VITTORE;9.17327758799;45.458854609;(45.458854609, 9.17327758799)
1415;2005;PIO ISTITUTO BUON PASTORE;Scuola primaria;Ente religioso;SI;Via SAN VITTORE 29;647;1;7;MAGENTA - S. VITTORE;9.1696323647;45.4634431499;(45.4634431499, 9.1696323647)
1415;2006;COLLEGIO SAN CARLO;Scuola primaria;Ente religioso;SI;Corso MAGENTA 71;604;1;7;MAGENTA - S. VITTORE;9.16977229797;45.4655815315;(45.4655815315, 9.16977229797)
1415;2007;SUORE MARCELLINE;Scuola primaria;Ente religioso;SI;Piazza NICCOLO' TOMMASEO 1;6175;1;7;MAGENTA - S. VITTORE;9.16723776787;45.4695776369;(45.4695776369, 9.16723776787)
1415;2008;ELEONORA E FRATELLI RUFFINI;Scuola primaria;Statale;No;Via FRATELLI RUFFINI 4;6163;1;7;MAGENTA - S. VITTORE;9.17025149437;45.4664271045;(45.4664271045, 9.17025149437)
1415;2009;ROSSARI E CASTIGLIONI;Scuola primaria;Statale;No;Via DELLA SPIGA 29;226;1;1;DUOMO;9.19564891741;45.4711207025;(45.4711207025, 9.19564891741)
1415;2010;CICERI VISCONTI;Scuola primaria;Statale;No;Via PALERMO 9;1025;1;2;BRERA;9.18538313743;45.4752157145;(45.4752157145, 9.18538313743)
1415;2013;SUORE FRANCESCANE MISSIONARIE DI GESU' BAMBINO;Scuola primaria;Ente religioso;SI;Via DELLA MOSCOVA 64;1016;1;2;BRERA;9.18287690786;45.4782536546;(45.4782536546, 9.18287690786)
1415;2014;SCUOLA GERMANICA;Scuola primaria;Ente privato laico;No;Via LEGNANO 24;7082;1;2;BRERA;9.18172145881;45.4761739715;(45.4761739715, 9.18172145881)
1415;2015;ISTITUTO ZACCARIA;Scuola primaria;Ente religioso;SI;Via DELLA COMMENDA 5;3146;1;4;GUASTALLA;9.19886098205;45.4591768563;(45.4591768563, 9.19886098205)
1415;2016;MADRE CABRINI;Scuola primaria;Ente religioso;SI;Corso DI PORTA ROMANA 105;402;1;4;GUASTALLA;9.19892409768;45.4542760424;(45.4542760424, 9.19892409768)
1415;2017;ISTITUTO VITTORIA COLONNA;Scuola primaria;Ente religioso;SI;Via CONSERVATORIO 4;3031;1;4;GUASTALLA;9.20327153762;45.4642846289;(45.4642846289, 9.20327153762)
1415;2018;SUORE MARCELLINE;Scuola primaria;Ente religioso;SI;Via QUADRONNO 15;4021;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.19254952487;45.4543201773;(45.4543201773, 9.19254952487)
1415;2020;CARLO PORTA - GAETANA AGNESI;Scuola primaria;Statale;No;Via QUADRONNO 32;4021;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.19468165553;45.4540763467;(45.4540763467, 9.19468165553)
1415;2021;VINCENZO CUOCO;Scuola primaria;Statale;No;Via FILIPPO CORRIDONI 34;3020;1;4;GUASTALLA;9.20384126085;45.4635347875;(45.4635347875, 9.20384126085)
1415;2022;SUORE ORSOLINE DI SAN CARLO;Scuola primaria;Ente religioso;SI;Via LANZONE 53;554;1;1;DUOMO;9.17457650158;45.4615112963;(45.4615112963, 9.17457650158)
