ANNOSCOL;CODICE;DENOMINAZIONE;GRADO;TIPO;PARITARIA;INDIRIZZO;CODVIA;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
1415;3002;LUCA BELTRAMI;Scuola secondaria;Statale;No;Piazza GUGLIELMO MASSAIA 2;559;1;1;DUOMO;9181341281;4,54617E+11;(45.4616707127, 9.181341281)
1415;3003;LUIGI CAGNOLA;Scuola secondaria;Statale;No;Via SOLFERINO 52;1028;1;2;BRERA;9,18878E+11;4,54795E+11;(45.4794908375, 9.18878445105)
1415;3004;CAVALIERI BONAVENTURA;Scuola secondaria;Statale;No;Via ANCO MARZIO 9;6231;1;7;MAGENTA - S. VITTORE;9,17028E+11;4,54598E+11;(45.4598291005, 9.17028238923)
1415;3005;GIUSEPPE VERDI;Scuola secondaria;Statale;No;Via FILIPPO CORRIDONI 34;3020;1;4;GUASTALLA;9,20384E+11;4,54635E+11;(45.4635347875, 9.20384126085)
1415;3006;LUIGI MAJNO;Scuola secondaria;Statale;No;Corso DI PORTA ROMANA 112;402;1;5;PORTA VIGENTINA - PORTA LODOVICA;9,19823E+11;45454484756;(45.454484756, 9.19822697807)
1415;3008;LUIGI MAJNO;Scuola secondaria;Statale;No;Via DELLA COMMENDA 22;3146;1;4;GUASTALLA;9,1991E+11;4,54561E+11;(45.4561417915, 9.19910425661)
1415;3011;LUIGI ROSSARI - ENRICHETTA CASTIGLIONI;Scuola secondaria;Statale;No;Via SANTO SPIRITO 21;228;1;1;DUOMO;9,19561E+11;4,54706E+11;(45.4705708553, 9.19560537427)
1415;3012;VIVAIO;Scuola secondaria;Statale;No;Via VIVAIO 7;3041;1;4;GUASTALLA;9,20403E+11;4,5469E+11;(45.4689514558, 9.20402564096)
1415;3013;SETTI CARRARO DALLA CHIESA;Scuola secondaria;Statale;No;Via PASSIONE 12;3033;1;4;GUASTALLA;9,20214E+11;4,5465E+11;(45.4649894441, 9.20213851052)
1415;3014;CONVITTO NAZIONALE LONGONE;Scuola secondaria;Statale;No;Via DEGLI OLIVETANI 9;6220;1;7;MAGENTA - S. VITTORE;9,16878E+11;4,54618E+11;(45.4618376308, 9.16877846662)
1415;3015;BETLEM;Scuola secondaria;Ente religioso;SI;Via NOVARA 540;6624;7;63;FIGINO;90720423423;4,54896E+11;(45.4896363023, 9.0720423423)
1415;3016;SUORE MARCELLINE;Scuola secondaria;Ente religioso;SI;Via QUADRONNO 15;4021;1;5;PORTA VIGENTINA - PORTA LODOVICA;9,19255E+11;4,54543E+11;(45.4543201773, 9.19254952487)
