_id;Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;denominazione_pe;insegna;superficie_somministrazione;CAP;ID_NIL;NIL;MUNICIPIO;LONG_WGS84;LAT_WGS84;Location
1;PE/26062;PIAZZA BANDIERA (F.LLI) N. 13 (z.d. 3);SOMMINISTRAZIONE - In piano;PIAZZA BANDIERA (F.LLI);13;3182;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;57;20129;21;BUENOS AIRES - VENEZIA;3;9,21138E+11;4,54709E+11;45.4708538472 / 9.21138357925
2;PE/24514;VIA MUSSI GIUSEPPE N. 13 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA MUSSI GIUSEPPE;13;7199;e - Bar gastronomici e simili;;15;20154;69;SARPI;8;9,16648E+13;4,54829E+14;45.4829332001083 / 9.1664781839054
3;PE/24515;Viale MOLISE N. 54 (z.d. 4);SOMMINISTRAZIONE - In piano;Viale MOLISE;54;3178;a - Ristorante, trattoria, osteria con cucina e simili;;99;20137;29;ORTOMERCATO;4;9,22436E+11;4,54542E+11;45.4542383748 / 9.22436003768
4;PE/26065;VIA PALIZZI FILIPPO N. 119 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA PALIZZI FILIPPO;119;7451;e - Bar gastronomici e simili|f - Bar caffè e simili;;59;20157;76;QUARTO OGGIARO;8;9,13367E+11;4,55084E+11;45.5084422216 / 9.13367290882
5;C-PE/61;Viale MONZA N. 256| isolato:040| accesso: accesso esterno| (z.d. 2);SOMMINISTRAZIONE - In piano;Viale MONZA;256;2274;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili;;139;20128;16;VLE MONZA;2;9,22577E+11;4,55156E+11;45.5156104946 / 9.22577045811
6;PE/24736;Via MUSATTI CESARE N. 8 (z.d. 1);SOMMINISTRAZIONE - In piano;Via MUSATTI CESARE;8;7603;a - Ristorante, trattoria, osteria con cucina e simili;;421;20157;75;STEPHENSON;8;9,12371E+11;4,55113E+11;45.5112784827 / 9.12371061027
7;PE/26071;Largo CROCETTA (DELLA) N. 2 (z.d. 1);SOMMINISTRAZIONE - In piano;Largo CROCETTA (DELLA);2;654;e - Bar gastronomici e simili;;60;20122;5;VIGENTINA;1;9,19543E+11;4,54559E+11;45.4558966703 / 9.19542534875
8;PE/24504;Via BRONZINO N. 1 (z.d. 3);SOMMINISTRAZIONE - In piano;Via BRONZINO;1;2191;e - Bar gastronomici e simili;;57;20129;21;BUENOS AIRES - VENEZIA;3;9,21937E+11;45474653828;45.474653828 / 9.21937241361
9;PE/24505;VIA POLIZIANO N. 12 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA POLIZIANO;12;7196;;;59;20154;69;SARPI;8;9,16566E+14;4,54836E+14;45.4835815429208 / 9.16566195038373
10;PE/26561;VIA PASSARELLA N. 4 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA PASSARELLA;4;298;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;65;20122;1;DUOMO;1;9,19452E+11;4,54648E+11;45.4648127621 / 9.19452001501
11;PE/24474;Via LOMBARDINI ELIA N. 1 (z.d. 6);SOMMINISTRAZIONE - In piano;Via LOMBARDINI ELIA;1;5146;;;59;20143;44;NAVIGLI;6;9,16418E+11;4,54492E+11;45.4491590722 / 9.16417552724
12;PE/24617;Viale MONZA N. 22 (z.d. 2);SOMMINISTRAZIONE - In piano;Viale MONZA;22;2274;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;70;20127;20;LORETO;2;9,21787E+11;4,54894E+11;45.4894016668 / 9.21786669163
13;PE/27374;VIA CASATI FELICE N. 8 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA CASATI FELICE;8;2122;a - Ristorante, trattoria, osteria con cucina e simili;;179;20124;21;BUENOS AIRES - VENEZIA;3;9,20587E+11;4,54778E+11;45.4777729208 / 9.20587163608
14;PE/25745;Via MUZIO SCEVOLA N. 4 (z.d. 3);SOMMINISTRAZIONE - In piano;Via MUZIO SCEVOLA;4;2663;e - Bar gastronomici e simili;;17;20134;23;LAMBRATE;3;9,24101E+11;4,54832E+11;45.4831749645 / 9.24100621771
