Numéro de la station;Nom de la station;Adresse;Code postal;Numéro de la borne d'appel taxi;Coordonnées X en LB93;Coordonnées Y_LB93;geo_shape;geo_point_2d
002;Palais royal;1 à 5 RUE SAINT HONORE;75001;0142606140;651287.8526;6862824.0287;"{""coordinates"": [2.336012179637824, 48.863605065473806], ""type"": ""Point""}";48.8636050655,2.33601217964
012;Panthéon;22 RUE SOUFFLOT;75005;0146330000;651701.271;6861004.781;"{""coordinates"": [2.34185384405313, 48.847275873050165], ""type"": ""Point""}";48.8472758731,2.34185384405
056;Porte d'Italie;164 BOULEVARD MASSÉNA;75013;0145860044;653018.332;6857888.225;"{""coordinates"": [2.360144197648746, 48.81934574787708], ""type"": ""Point""}";48.8193457479,2.36014419765
029;Rond Point des Champs Elysées;AVENUE MATIGNON;75008;0142562900;649602.449;6863631.1382;"{""coordinates"": [2.312944118397537, 48.870733568635586], ""type"": ""Point""}";48.8707335686,2.3129441184
085;Courcelles Chazelle;94 BOULEVARD DE COURCELLES;75017;0147668050;648936.769;6864607.61;"{""coordinates"": [2.303752179565337, 48.8794622634436], ""type"": ""Point""}";48.8794622634,2.30375217957
075;Maison de la Radio;PLACE CLÉMENT ADER;75016;0145245617;647042.6643;6861506.7593;"{""coordinates"": [2.278313863726526, 48.85142407356717], ""type"": ""Point""}";48.8514240736,2.27831386373
011;Maubert Mutualité;60 BOULEVARD SAINT GERMAIN;75005;0146341032;652172.414;6861338.183;"{""coordinates"": [2.348236116957454, 48.85030928925022], ""type"": ""Point""}";48.8503092893,2.34823611696
033;Place De Clichy;80 à 84 RUE DE CLICHY;75009;0142850000;650710.97;6864973.306;"{""coordinates"": [2.3278998036768, 48.88288909213377], ""type"": ""Point""}";48.8828890921,2.32789980368
073;Porte de Saint Cloud;5 PLACE DE LA PORTE DE SAINT-CLOUD;75016;0146516040;645475.381;6859947.278;"{""coordinates"": [2.257156580245891, 48.837269070991155], ""type"": ""Point""}";48.837269071,2.25715658025
028;Place de l'Alma;1 AVENUE GEORGE V;75008;0140709604;648732.061;6863027.272;"{""coordinates"": [2.301151831288084, 48.865234447537105], ""type"": ""Point""}";48.8652344475,2.30115183129
079;Porte d'Auteuil;136 à 144 BOULEVARD EXELMANS;75016;0146511461;645655.701;6861046.981;"{""coordinates"": [2.25947261201482, 48.84717385338768], ""type"": ""Point""}";48.8471738534,2.25947261201
081;Trocadéro;1 AVENUE D'EYLAU;75016;0147270000;647625.957;6862835.279;"{""coordinates"": [2.286098680057112, 48.863418910572314], ""type"": ""Point""}";48.8634189106,2.28609868006
082;Etoile - Wagram;2 AVENUE DE WAGRAM;75017;0143800199;649054.482;6865458.025;"{""coordinates"": [2.305255096208338, 48.88711906583202], ""type"": ""Point""}";48.8871190658,2.30525509621
013;Place Monge;75bis RUE MONGE;75005;0145871595;652471.071;6860565.249;"{""coordinates"": [2.352392225757421, 48.84338040536214], ""type"": ""Point""}";48.8433804054,2.35239222576
021;Alma - Branly;3 AVENUE BOSQUET;75007;0147056686;648819.485;6862632.205;"{""coordinates"": [2.302391047143098, 48.861688640374915], ""type"": ""Point""}";48.8616886404,2.30239104714
025;La Tour Maubourg - Invalides;58 BOULEVARD DE LA TOUR-MAUBOURG;75007;0145557842;649361.946;6862245.741;"{""coordinates"": [2.309830648926608, 48.85825610282273], ""type"": ""Point""}";48.8582561028,2.30983064893
055;Rue De Patay;117 à 121 RUE DE PATAY;75013;0145830000;654025.9441;6858632.1109;"{""coordinates"": [2.373786208699663, 48.826108305127974], ""type"": ""Point""}";48.8261083051,2.3737862087
059;Porte d'Orléans;5 PLACE DU VINGT-CINQ AOÛT 1944;75014;0145405205;650501.247;6858248.052;"{""coordinates"": [2.325823132812303, 48.82239338393548], ""type"": ""Point""}";48.8223933839,2.32582313281
071;Sèvres Lecourbe;1 BOULEVARD PASTEUR;75015;0147340000;649499.721;6860793.237;"{""coordinates"": [2.311880868031049, 48.8452046846296], ""type"": ""Point""}";48.8452046846,2.31188086803
083;Maréchal Juin;3 PLACE DU MARÉCHAL JUIN;75017;0142270000;648489.521;6865158.704;"{""coordinates"": [2.297587426769852, 48.8843824378487], ""type"": ""Point""}";48.8843824378,2.29758742677
