Identifiant station;Code postal;Adresse;Opérateurs;Motorisation;Etat fonctionnel;URL Opérateur;Complément adresse;Nombre de places réservées;geo_shape;geo_point_2d
18-T134;75020;9 RUE HAXO;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.4051600002879416, 48.8696760002479], ""type"": ""Point""}";48.8696760002479,2.4051600002879416
E-029;75009;26 AVENUE TRUDAINE;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;5;"{""coordinates"": [2.3410979996257097, 48.881025000215956], ""type"": ""Point""}";48.881025000215956,2.3410979996257097
E-057;75012;15 AVENUE DU GENERAL LAPERRINE;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;6;"{""coordinates"": [2.4076395000045268, 48.834621000006244], ""type"": ""Point""}";48.834621000006244,2.4076395000045268
E-085;75015;161 AVENUE DE SUFFREN;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;6;"{""coordinates"": [2.3095529999284348, 48.84597900030509], ""type"": ""Point""}";48.84597900030509,2.3095529999284348
E-090;75016;24 AVENUE D IENA;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;4;"{""coordinates"": [2.2945950000815336, 48.86539199991618], ""type"": ""Point""}";48.86539199991618,2.2945950000815336
E-093;75016;2 AVENUE MOZART;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;4;"{""coordinates"": [2.2738139998250264, 48.85792199983744], ""type"": ""Point""}";48.85792199983744,2.2738139998250264
E-097;75016;32 BOULEVARD EXELMANS;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;5;"{""coordinates"": [2.264489999762492, 48.841326000257965], ""type"": ""Point""}";48.841326000257965,2.264489999762492
U-026;75012;116 RUE DE REUILLY;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;5;"{""coordinates"": [2.394571500605843, 48.84026400041291], ""type"": ""Point""}";48.84026400041291,2.394571500605843
15-T036;75010;3 AVENUE CLAUDE VELLEFAUX;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3701590003404496, 48.87433799955462], ""type"": ""Point""}";48.87433799955462,2.3701590003404496
15-T038;75011;1 RUE ALEXANDRE DUMAS;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.3889464998737764, 48.852881999560076], ""type"": ""Point""}";48.852881999560076,2.3889464998737764
15-T054;75006;2 RUE DE FLEURUS;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.33216099965221, 48.847104000283956], ""type"": ""Point""}";48.847104000283956,2.33216099965221
15-T088;75018;69 RUE RAMEY;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.34489150058821, 48.8912940000654], ""type"": ""Point""}";48.8912940000654,2.34489150058821
15-T096;75019;12 AVENUE DE FLANDRE;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.3700959999692186, 48.884912999567824], ""type"": ""Point""}";48.884912999567824,2.3700959999692186
18-T019;75010;21 RUE CHATEAU D EAU;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.359979999641894, 48.87018000042679], ""type"": ""Point""}";48.87018000042679,2.359979999641894
18-T017;75009;7 PLACE D ESTIENNE D ORVES;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3309909994516396, 48.876965999800916], ""type"": ""Point""}";48.876965999800916,2.3309909994516396
18-T054;75014;144 RUE RAYMOND LOSSERAND;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.312972999413203, 48.83136299971684], ""type"": ""Point""}";48.83136299971684,2.312972999413203
18-T062;75015;1 RUE HOUDART DE LAMOTTE;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.2877684993916954, 48.84080400012629], ""type"": ""Point""}";48.84080400012629,2.2877684993916954
18-T088;75016;31 BIS RUE MOLITOR;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.2626674993294937, 48.845114999736495], ""type"": ""Point""}";48.845114999736495,2.2626674993294937
18-T099;75017;62 AVENUE DE LA GRANDE ARMEE;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.2863150003532993, 48.87691200002142], ""type"": ""Point""}";48.87691200002142,2.2863150003532993
18-T053;75014;60 RUE PERNETY;Getaround;Thermique & hybride;oui;https://fr.getaround.com/;;2;"{""coordinates"": [2.3166629998831705, 48.834954000038394], ""type"": ""Point""}";48.834954000038394,2.3166629998831705
18-T114;75018;7 RUE TOURLAQUE;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.333074500436109, 48.88762200019221], ""type"": ""Point""}";48.88762200019221,2.333074500436109
18-T122;75019;17 BIS AVENUE JEAN JAURES;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.372489999875941, 48.883536000000355], ""type"": ""Point""}";48.883536000000355,2.372489999875941
18-T129;75019;18 RUE DE BOTZARIS;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.3812694997082082, 48.87702900037999], ""type"": ""Point""}";48.87702900037999,2.3812694997082082
E-007;75004;24 RUE DU PONT LOUIS PHILLIPPE;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;6;"{""coordinates"": [2.3563620002149244, 48.855698999615264], ""type"": ""Point""}";48.855698999615264,2.3563620002149244
E-039;75011;1 AVENUE PHILIPPE AUGUSTE;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;5;"{""coordinates"": [2.3949990003638937, 48.84947999972787], ""type"": ""Point""}";48.84947999972787,2.3949990003638937
E-042;75011;36 AVENUE DE LA REPUBLIQUE;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;4;"{""coordinates"": [2.3720580004433547, 48.86558999960183], ""type"": ""Point""}";48.86558999960183,2.3720580004433547
